method,run,generation,best
GP_plain,4,49,0.520640154483005
GP_plain,4,50,0.520640154483005
GP_plain,4,51,0.5206111044669735
GP_plain,4,52,0.5206111044669735
GP_plain,4,53,0.5206111044669735
GP_plain,4,54,0.5206111044669735
GP_plain,4,55,0.5206111044669735
GP_plain,4,56,0.5206111044669735
GP_plain,4,57,0.5206111044669735
GP_plain,4,58,0.5206111044669735
GP_plain,4,59,0.5206111044669735
GP_plain,4,60,0.5206111044669735
GP_plain,4,61,0.5206111044669735
GP_plain,4,62,0.5206111044669735
GP_plain,4,63,0.5206111044669735
GP_plain,5,0,0.5305972611971347
GP_plain,5,1,0.5305972611971347
GP_plain,5,2,0.5305972611971347
GP_plain,5,3,0.5305972611971347
GP_plain,5,4,0.4223352804130692
GP_plain,5,5,0.4223352804130692
GP_plain,5,6,0.4223352804130692
GP_plain,5,7,0.4223352804130692
GP_plain,5,8,0.4223352804130692
GP_plain,5,9,0.4223352804130692
GP_plain,5,10,0.4223352804130692
GP_plain,5,11,0.4223352804130692
GP_plain,5,12,0.4223352804130692
GP_plain,5,13,0.4223352804130692
GP_plain,5,14,0.4223352804130692
GP_plain,5,15,0.4223352804130692
GP_plain,5,16,0.4223352804130692
GP_plain,5,17,0.4223352804130692
GP_plain,5,18,0.4223352804130692
GP_plain,5,19,0.4223352804130692
GP_plain,5,20,0.4223352804130692
GP_plain,5,21,0.4223352804130692
GP_plain,5,22,0.4223352804130692
GP_plain,5,23,0.4223352804130692
GP_plain,5,24,0.4223352804130692
GP_plain,5,25,0.4223352804130692
GP_plain,5,26,0.4223352804130692
GP_plain,5,27,0.4223352804130692
GP_plain,5,28,0.4223352804130692
GP_plain,5,29,0.4223352804130692
GP_plain,5,30,0.4223352804130692
GP_plain,5,31,0.4223352804130692
GP_plain,5,32,0.4223352804130692
GP_plain,5,33,0.4223352804130692
GP_plain,5,34,0.4223352804130692
GP_plain,5,35,0.4223352804130692
GP_plain,5,36,0.4223352804130692
GP_plain,5,37,0.4223352804130692
GP_plain,5,38,0.4223352804130692
GP_plain,5,39,0.4223352804130692
GP_plain,5,40,0.4223352804130692
GP_plain,5,41,0.4223352804130692
GP_plain,5,42,0.4223352804130692
GP_plain,5,43,0.4223352804130692
GP_plain,5,44,0.4223352804130692
GP_plain,5,45,0.4223352804130692
GP_plain,5,46,0.4223352804130692
GP_plain,5,47,0.4223352804130692
GP_plain,5,48,0.4223352804130692
GP_plain,5,49,0.4223352804130692
GP_plain,5,50,0.4223352804130692
GP_plain,5,51,0.4223352804130692
GP_plain,5,52,0.4223352804130692
GP_plain,5,53,0.3924849622019394
GP_plain,5,54,0.3924849622019394
GP_plain,5,55,0.3924849622019394
GP_plain,5,56,0.3924849622019394
GP_plain,5,57,0.3924849622019394
GP_plain,5,58,0.3924849622019394
GP_plain,5,59,0.3924849622019394
GP_plain,5,60,0.3924849622019394
GP_plain,5,61,0.3924849622019394
GP_plain,5,62,0.3364824258223197
GP_plain,5,63,0.3364824258223197
GP_plain,6,0,0.5305972611971347
GP_plain,6,1,0.5305972611971347
GP_plain,6,2,0.5305972611971347
GP_plain,6,3,0.45320626151124316
GP_plain,6,4,0.45320626151124316
GP_plain,6,5,0.45320626151124316
GP_plain,6,6,0.45320626151124316
GP_plain,6,7,0.45320626151124316
GP_plain,6,8,0.41995507623516126
GP_plain,6,9,0.33624454730659087
GP_plain,6,10,0.33624454730659087
GP_plain,6,11,0.33624454730659087
GP_plain,6,12,0.33624454730659087
GP_plain,6,13,0.33624454730659087
GP_plain,6,14,0.3352884339132673
GP_plain,6,15,0.33522197848222
GP_plain,6,16,0.33522197848222
GP_plain,6,17,0.33522197848222
GP_plain,6,18,0.33522197848222
GP_plain,6,19,0.33522197848222
GP_plain,6,20,0.33522197848222
GP_plain,6,21,0.33522197848222
GP_plain,6,22,0.33522197848222
GP_plain,6,23,0.33522197848222
GP_plain,6,24,0.33522197848222
GP_plain,6,25,0.33522197848222
GP_plain,6,26,0.33522197848222
GP_plain,6,27,0.3329533601552322
GP_plain,6,28,0.3329533601552322
GP_plain,6,29,0.3329533601552322
GP_plain,6,30,0.3329533601552322
GP_plain,6,31,0.3329533601552322
GP_plain,6,32,0.3329533601552322
GP_plain,6,33,0.3329533601552322
GP_plain,6,34,0.3329533601552322
GP_plain,6,35,0.3329533601552322
